Vata,Pitta,Kapha,Dosha_Type
43,116,131,Kapha
60,106,27,Pitta
7,1,17,Kapha
38,86,13,Pitta
108,13,69,Vata
43,57,73,Kapha
115,46,79,Vata
39,88,108,Kapha
24,50,109,Kapha
59,69,135,Kapha
90,128,67,Pitta
133,59,125,Vata
141,10,58,Vata
20,122,77,Pitta
47,82,90,Kapha
141,147,128,Pitta
46,120,46,Pitta
78,124,142,Kapha
67,18,83,Kapha
129,76,99,Vata
108,83,110,Kapha-Vata
37,128,28,Pitta
128,79,114,Vata
147,109,87,Vata
115,71,38,Vata
134,78,48,Vata
51,6,24,Vata
145,78,57,Vata
106,107,0,Pitta-Vata
91,138,9,Pitta
31,102,40,Pitta
97,3,24,Vata
7,24,61,Kapha
97,73,29,Vata
50,91,54,Pitta
76,53,59,Vata
26,36,44,Kapha
60,129,120,Pitta
67,44,137,Kapha
150,67,0,Vata
116,89,114,Vata-Kapha
39,64,148,Kapha
69,43,148,Kapha
138,59,29,Vata
94,33,68,Vata
104,31,139,Kapha
13,33,77,Kapha
42,55,48,Pitta
11,55,139,Kapha
35,47,55,Kapha
10,89,74,Pitta
83,112,139,Kapha
143,1,115,Vata
125,121,2,Vata-Pitta
2,150,105,Pitta
72,90,74,Pitta
41,84,51,Pitta
150,11,129,Vata
102,12,80,Vata
133,51,90,Vata
146,140,76,Vata
47,82,82,Pitta-Kapha
30,26,89,Kapha
99,86,21,Vata
8,145,99,Pitta
127,134,134,Pitta-Kapha
9,103,133,Kapha
89,37,37,Vata
108,104,29,Vata-Pitta
109,5,29,Vata
79,12,129,Kapha
95,7,98,Kapha-Vata
33,28,31,Vata-Kapha
39,142,142,Pitta-Kapha
4,37,17,Pitta
43,106,63,Pitta
123,72,13,Vata
131,140,116,Pitta
70,21,124,Kapha
86,11,37,Vata
129,18,67,Vata
131,49,108,Vata
83,148,37,Pitta
131,108,35,Vata
24,123,142,Kapha
52,21,104,Kapha
106,88,117,Kapha
32,126,28,Pitta
96,3,127,Kapha
13,52,68,Kapha
7,71,149,Kapha
128,106,115,Vata
60,144,139,Pitta-Kapha
119,59,29,Vata
138,4,144,Kapha
142,64,79,Vata
91,22,77,Vata
80,34,4,Vata
16,146,104,Pitta
72,36,13,Vata
63,49,60,Vata
47,8,16,Vata
59,9,14,Vata
51,94,20,Pitta
42,64,21,Pitta
107,47,28,Vata
139,147,150,Kapha-Pitta
74,123,8,Pitta
22,124,29,Pitta
142,55,30,Vata
31,73,102,Kapha
110,84,132,Kapha
39,148,131,Pitta
68,113,60,Pitta
94,126,118,Pitta
99,70,65,Vata
99,93,131,Kapha
64,74,106,Kapha
53,84,83,Pitta-Kapha
132,17,82,Vata
30,27,71,Kapha
94,9,120,Kapha
100,51,91,Vata
36,94,79,Pitta
149,145,89,Vata-Pitta
69,63,9,Vata
9,27,76,Kapha
101,13,48,Vata
39,34,44,Kapha
10,85,82,Pitta-Kapha
43,79,8,Pitta
87,116,75,Pitta
112,8,44,Vata
1,2,150,Kapha
126,40,71,Vata
37,17,2,Vata
66,135,119,Pitta
116,138,22,Pitta
41,106,33,Pitta
15,103,145,Kapha
87,77,13,Vata
53,70,6,Pitta
70,91,104,Kapha
71,41,72,Kapha-Vata
69,149,78,Pitta
7,10,59,Kapha
27,84,108,Kapha
108,11,12,Vata
121,42,61,Vata
148,37,134,Vata
40,64,49,Pitta
57,13,101,Kapha
35,48,49,Kapha-Pitta
15,142,71,Pitta
138,107,121,Vata
1,11,86,Kapha
84,134,58,Pitta
86,124,108,Pitta
133,69,9,Vata
91,38,130,Kapha
130,43,57,Vata
45,25,111,Kapha
32,134,123,Pitta
20,119,114,Pitta-Kapha
84,72,90,Kapha
57,60,116,Kapha
25,126,4,Pitta
125,133,128,Pitta-Kapha
146,25,27,Vata
124,69,101,Vata
137,119,50,Vata
147,18,62,Vata
36,18,141,Kapha
99,76,113,Kapha
92,67,47,Vata
86,106,113,Kapha
59,94,106,Kapha
18,119,63,Pitta
137,102,102,Vata
24,75,6,Pitta
31,124,93,Pitta
149,124,63,Vata
15,45,93,Kapha
32,112,42,Pitta
17,42,83,Kapha
15,65,108,Kapha
128,31,65,Vata
58,94,146,Kapha
45,109,60,Pitta
72,54,24,Vata
114,125,12,Pitta
100,89,128,Kapha
87,135,146,Kapha
110,125,108,Pitta
26,64,45,Pitta
27,150,17,Pitta
49,86,15,Pitta
146,15,110,Vata
129,81,49,Vata
124,55,98,Vata
37,29,149,Kapha
27,32,38,Kapha
130,53,106,Vata
132,108,104,Vata
55,20,79,Kapha
129,49,117,Vata
19,33,4,Pitta
136,75,115,Vata
104,44,78,Vata
11,79,88,Kapha
112,50,1,Vata
130,103,19,Vata
120,64,10,Vata
71,96,90,Pitta
106,135,82,Pitta
10,124,108,Pitta
132,84,130,Vata-Kapha
127,140,75,Pitta
128,116,26,Vata
59,11,52,Vata
122,100,73,Vata
73,107,33,Pitta
89,27,19,Vata
147,131,69,Vata
110,134,134,Pitta-Kapha
1,111,42,Pitta
84,64,148,Kapha
48,90,76,Pitta
112,131,78,Pitta
71,58,139,Kapha
5,145,34,Pitta
47,74,18,Pitta
47,36,0,Vata
86,19,2,Vata
27,129,2,Pitta
61,71,148,Kapha
72,84,53,Pitta
124,14,146,Kapha
95,54,0,Vata
110,19,42,Vata
47,125,121,Pitta-Kapha
48,50,26,Pitta-Vata
98,107,24,Pitta
11,58,34,Pitta
93,37,92,Vata-Kapha
55,18,129,Kapha
6,1,119,Kapha
121,113,60,Vata
0,57,76,Kapha
50,10,102,Kapha
52,115,96,Pitta
147,123,89,Vata
0,135,93,Pitta
88,144,117,Pitta
91,29,149,Kapha
2,29,40,Kapha
75,42,117,Kapha
16,21,149,Kapha
89,50,134,Kapha
66,38,115,Kapha
54,113,44,Pitta
48,121,142,Kapha
92,63,133,Kapha
17,31,114,Kapha
78,124,52,Pitta
3,56,75,Kapha
31,34,142,Kapha
73,62,88,Kapha
147,123,35,Vata
50,117,64,Pitta
20,106,140,Kapha
79,53,56,Vata
125,95,77,Vata
47,132,2,Pitta
81,18,53,Vata
64,120,83,Pitta
79,112,52,Pitta
149,57,128,Vata
42,107,146,Kapha
110,100,2,Vata
78,142,80,Pitta
118,143,3,Pitta
15,57,92,Kapha
101,59,145,Kapha
19,116,41,Pitta
120,108,137,Kapha
26,26,7,Vata-Pitta
29,112,64,Pitta
40,66,142,Kapha
8,129,132,Kapha-Pitta
142,88,142,Vata-Kapha
4,88,20,Pitta
97,82,24,Vata
34,27,42,Kapha
73,32,110,Kapha
140,15,126,Vata
77,97,150,Kapha
91,8,6,Vata
25,138,20,Pitta
80,14,31,Vata
48,29,116,Kapha
69,122,117,Pitta-Kapha
18,65,114,Kapha
142,150,63,Pitta
140,95,89,Vata
141,80,28,Vata
2,145,39,Pitta
67,76,103,Kapha
98,87,125,Kapha
84,135,31,Pitta
10,38,106,Kapha
112,45,44,Vata
73,53,131,Kapha
27,103,53,Pitta
147,135,85,Vata
4,1,64,Kapha
74,44,2,Vata
61,71,142,Kapha
118,61,132,Kapha
13,12,46,Kapha
89,108,13,Pitta
72,14,4,Vata
2,5,116,Kapha
117,140,138,Pitta-Kapha
103,21,32,Vata
142,85,53,Vata
22,150,32,Pitta
139,114,122,Vata
138,31,56,Vata
82,110,50,Pitta
101,109,47,Pitta
1,39,94,Kapha
142,131,59,Vata
130,145,118,Pitta
123,49,15,Vata
109,4,9,Vata
23,13,120,Kapha
65,133,10,Pitta
24,35,61,Kapha
82,122,74,Pitta
90,134,20,Pitta
0,124,144,Kapha
17,147,7,Pitta
51,61,86,Kapha
29,77,9,Pitta
75,137,65,Pitta
28,65,41,Pitta
89,37,62,Vata
103,32,66,Vata
3,3,37,Kapha
11,143,41,Pitta
43,149,79,Pitta
146,7,18,Vata
140,99,139,Vata-Kapha
32,52,53,Kapha-Pitta
120,128,121,Pitta
144,44,108,Vata
74,17,110,Kapha
92,68,107,Kapha
33,66,15,Pitta
146,100,74,Vata
119,124,59,Pitta-Vata
59,63,115,Kapha
69,31,54,Vata
132,30,25,Vata
136,18,57,Vata
98,23,136,Kapha
63,131,147,Kapha
51,4,106,Kapha
72,72,110,Kapha
149,134,88,Vata
118,3,49,Vata
97,132,49,Pitta
42,92,134,Kapha
3,75,3,Pitta
141,120,131,Vata
128,122,15,Vata
14,105,27,Pitta
62,17,52,Vata
0,44,13,Pitta
55,31,116,Kapha
89,136,47,Pitta
117,72,26,Vata
82,60,21,Vata
85,44,57,Vata
56,126,2,Pitta
79,90,109,Kapha
111,111,9,Vata-Pitta
107,23,137,Kapha
52,3,2,Vata
124,39,117,Vata
98,107,99,Pitta
58,32,23,Vata
103,61,133,Kapha
48,41,1,Vata
14,79,79,Pitta-Kapha
95,97,50,Pitta-Vata
39,28,62,Kapha
99,96,128,Kapha
118,143,21,Pitta
129,4,49,Vata
65,117,27,Pitta
3,118,79,Pitta
21,103,117,Kapha
59,150,111,Pitta
108,12,143,Kapha
146,124,148,Kapha-Vata
85,80,128,Kapha
78,30,41,Vata
48,39,20,Vata
147,49,83,Vata
24,53,121,Kapha
144,101,47,Vata
94,25,40,Vata
65,122,95,Pitta
58,99,108,Kapha
8,87,24,Pitta
49,94,26,Pitta
136,25,108,Vata
128,125,30,Vata-Pitta
98,103,116,Kapha
130,100,57,Vata
73,134,107,Pitta
23,109,101,Pitta
33,139,55,Pitta
117,1,90,Vata
50,133,19,Pitta
66,81,117,Kapha
148,17,57,Vata
141,81,11,Vata
12,84,3,Pitta
81,113,54,Pitta
65,94,72,Pitta
21,65,116,Kapha
45,92,69,Pitta
128,132,41,Pitta-Vata
68,92,27,Pitta
24,114,35,Pitta
77,115,29,Pitta
145,91,100,Vata
85,137,49,Pitta
57,116,100,Pitta
80,93,70,Pitta
57,39,124,Kapha
53,44,131,Kapha
56,113,16,Pitta
91,57,22,Vata
104,123,37,Pitta
106,108,97,Pitta-Vata
101,89,92,Vata
78,50,1,Vata
53,68,123,Kapha
35,4,54,Kapha
108,113,28,Pitta-Vata
16,112,104,Pitta
102,31,11,Vata
27,19,24,Vata-Kapha
62,135,57,Pitta
124,27,136,Kapha
17,125,54,Pitta
51,45,128,Kapha
76,28,87,Kapha
101,131,5,Pitta
17,53,14,Pitta
85,74,99,Kapha
19,14,45,Kapha
95,68,30,Vata
85,113,14,Pitta
84,99,13,Pitta
12,88,115,Kapha
31,22,85,Kapha
53,127,103,Pitta
131,77,64,Vata
26,64,23,Pitta
78,54,128,Kapha
106,5,65,Vata
36,109,120,Kapha
16,71,25,Pitta
5,65,125,Kapha
53,91,144,Kapha
19,148,26,Pitta
147,57,70,Vata
146,4,95,Vata
56,54,122,Kapha
20,66,76,Kapha
82,108,50,Pitta
49,143,15,Pitta
79,53,100,Kapha
90,29,79,Vata
18,83,85,Kapha-Pitta
72,29,43,Vata
132,87,14,Vata
3,18,97,Kapha
81,126,15,Pitta
15,99,129,Kapha
126,56,81,Vata
10,125,63,Pitta
93,130,14,Pitta
65,60,74,Kapha
9,32,44,Kapha
7,19,108,Kapha
138,38,66,Vata
64,39,68,Kapha-Vata
53,34,33,Vata
10,83,68,Pitta
28,79,93,Kapha
101,135,100,Pitta
13,113,10,Pitta
136,127,8,Vata
0,16,106,Kapha
122,90,146,Kapha
24,40,109,Kapha
142,4,148,Kapha
58,115,40,Pitta
136,126,146,Kapha
124,134,68,Pitta
61,149,82,Pitta
2,49,22,Pitta
88,77,1,Vata
105,26,16,Vata
34,101,129,Kapha
74,59,100,Kapha
0,21,63,Kapha
115,126,133,Kapha
69,148,27,Pitta
24,92,98,Kapha
10,82,98,Kapha
19,28,99,Kapha
136,9,21,Vata
47,85,47,Pitta
130,107,119,Vata
31,133,36,Pitta
63,110,117,Kapha
133,149,150,Kapha-Pitta
13,140,140,Pitta-Kapha
138,150,60,Pitta
85,53,146,Kapha
98,61,47,Vata
140,56,42,Vata
65,6,67,Kapha-Vata
34,128,35,Pitta
88,49,138,Kapha
88,16,79,Vata
28,150,100,Pitta
0,80,52,Pitta
100,90,26,Vata
1,72,17,Pitta
139,70,150,Kapha
95,14,144,Kapha
139,108,87,Vata
74,43,67,Vata
40,38,126,Kapha
116,139,76,Pitta
64,134,6,Pitta
97,145,50,Pitta
95,12,121,Kapha
78,121,111,Pitta
6,136,69,Pitta
122,34,137,Kapha
135,44,128,Vata
145,150,7,Pitta-Vata
131,8,148,Kapha
115,146,129,Pitta
144,67,105,Vata
133,26,37,Vata
4,67,62,Pitta-Kapha
96,30,61,Vata
50,97,49,Pitta
36,59,20,Pitta
140,144,106,Pitta-Vata
105,53,109,Kapha-Vata
22,150,54,Pitta
70,5,120,Kapha
96,17,60,Vata
48,124,24,Pitta
51,1,60,Kapha
102,34,63,Vata
99,138,97,Pitta
143,45,87,Vata
65,125,92,Pitta
56,132,105,Pitta
137,101,104,Vata
140,75,67,Vata
43,66,120,Kapha
1,126,29,Pitta
83,31,55,Vata
82,127,18,Pitta
90,79,23,Vata
1,0,94,Kapha
59,115,90,Pitta
107,103,83,Vata-Pitta
112,36,11,Vata
19,116,109,Pitta
94,71,1,Vata
61,100,61,Pitta
33,137,89,Pitta
113,106,18,Vata
52,103,61,Pitta
6,60,1,Pitta
4,78,96,Kapha
65,27,138,Kapha
111,57,144,Kapha
67,72,108,Kapha
125,117,105,Vata
130,104,90,Vata
88,108,98,Pitta
13,10,9,Vata-Pitta
79,120,118,Pitta-Kapha
3,87,53,Pitta
37,28,99,Kapha
84,145,110,Pitta
74,57,136,Kapha
111,23,74,Vata
19,142,118,Pitta
127,39,15,Vata
82,12,34,Vata
129,33,46,Vata
9,14,122,Kapha
15,120,134,Kapha
20,137,21,Pitta
107,12,0,Vata
126,148,12,Pitta
20,59,80,Kapha
96,135,140,Kapha-Pitta
12,99,16,Pitta
25,16,76,Kapha
0,12,13,Kapha-Pitta
96,24,20,Vata
130,111,123,Vata
26,29,79,Kapha
95,37,141,Kapha
113,94,48,Vata
15,0,112,Kapha
68,30,32,Vata
60,150,54,Pitta
100,62,63,Vata
12,67,71,Kapha-Pitta
4,122,43,Pitta
74,65,132,Kapha
59,37,109,Kapha
4,73,138,Kapha
34,55,53,Pitta-Kapha
136,50,143,Kapha
106,145,92,Pitta
84,51,81,Vata-Kapha
8,15,116,Kapha
106,31,60,Vata
140,48,11,Vata
55,67,36,Pitta
14,92,75,Pitta
102,34,127,Kapha
128,86,0,Vata
86,105,110,Kapha-Pitta
6,74,5,Pitta
59,135,0,Pitta
73,11,145,Kapha
18,42,143,Kapha
49,60,107,Kapha
78,7,14,Vata
101,5,135,Kapha
116,127,62,Pitta
92,101,119,Kapha
67,146,41,Pitta
79,39,66,Vata
114,70,4,Vata
69,71,128,Kapha
76,66,4,Vata
80,109,127,Kapha
79,115,12,Pitta
120,34,87,Vata
140,53,82,Vata
87,48,79,Vata
108,3,127,Kapha
94,8,88,Vata
82,97,67,Pitta
147,94,133,Vata
128,140,111,Pitta
125,53,22,Vata
17,92,145,Kapha
18,95,136,Kapha
44,1,119,Kapha
129,78,49,Vata
73,91,150,Kapha
33,35,92,Kapha
92,63,55,Vata
14,101,65,Pitta
102,41,103,Kapha-Vata
27,148,100,Pitta
87,28,39,Vata
26,71,69,Pitta-Kapha
120,90,55,Vata
68,2,141,Kapha
125,104,60,Vata
109,47,39,Vata
127,84,105,Vata
45,69,144,Kapha
67,115,51,Pitta
96,4,18,Vata
130,42,26,Vata
49,1,32,Vata
49,97,114,Kapha
133,126,132,Vata-Kapha
117,128,24,Pitta
11,95,74,Pitta
60,35,26,Vata
138,94,119,Vata
125,47,116,Vata
94,52,149,Kapha
117,148,35,Pitta
26,30,106,Kapha
82,130,117,Pitta
42,4,117,Kapha
108,43,53,Vata
80,96,85,Pitta
103,148,64,Pitta
23,77,6,Pitta
4,139,88,Pitta
56,95,43,Pitta
37,100,21,Pitta
105,143,37,Pitta
44,132,97,Pitta
90,144,72,Pitta
115,90,136,Kapha
136,61,27,Vata
71,38,43,Vata
20,113,26,Pitta
28,1,93,Kapha
83,25,142,Kapha
10,88,31,Pitta
59,17,107,Kapha
128,1,145,Kapha
56,100,129,Kapha
101,15,137,Kapha
5,15,16,Kapha-Pitta
122,102,22,Vata
72,51,78,Kapha
105,98,146,Kapha
23,22,25,Kapha-Vata
43,91,16,Pitta
116,11,62,Vata
67,38,15,Vata
89,65,70,Vata
145,92,148,Kapha-Vata
140,119,119,Vata
61,125,30,Pitta
100,41,30,Vata
125,83,99,Vata
61,61,105,Kapha
113,103,50,Vata
74,129,26,Pitta
23,107,70,Pitta
79,33,67,Vata
46,39,72,Kapha
146,1,55,Vata
134,54,140,Kapha
83,57,84,Kapha-Vata
54,146,109,Pitta
97,78,149,Kapha
21,41,67,Kapha
49,70,55,Pitta
97,10,150,Kapha
85,62,9,Vata
83,128,12,Pitta
25,1,80,Kapha
82,19,71,Vata
77,91,142,Kapha
139,69,35,Vata
100,25,127,Kapha
79,25,38,Vata
97,143,65,Pitta
32,77,28,Pitta
2,30,133,Kapha
103,93,55,Vata
124,57,95,Vata
6,124,54,Pitta
28,6,98,Kapha
68,62,112,Kapha
127,139,146,Kapha
119,59,124,Kapha-Vata
18,147,80,Pitta
133,26,100,Vata
15,104,33,Pitta
105,42,126,Kapha
71,77,43,Pitta
99,111,96,Pitta
36,99,100,Kapha-Pitta
12,123,16,Pitta
148,57,105,Vata
54,23,50,Vata
131,124,12,Vata
104,9,32,Vata
56,98,75,Pitta
122,147,74,Pitta
91,48,68,Vata
95,81,110,Kapha
147,31,149,Kapha-Vata
95,144,51,Pitta
60,101,104,Kapha-Pitta
135,15,1,Vata
19,91,129,Kapha
77,103,65,Pitta
6,111,9,Pitta
66,104,117,Kapha
78,69,16,Vata
107,65,132,Kapha
39,0,108,Kapha
118,70,85,Vata
23,134,105,Pitta
85,11,94,Kapha
78,122,115,Pitta
119,149,127,Pitta
93,82,81,Vata
38,102,134,Kapha
21,52,111,Kapha
92,40,125,Kapha
26,125,88,Pitta
27,132,123,Pitta
135,44,76,Vata
85,140,79,Pitta
18,24,49,Kapha
68,149,87,Pitta
92,0,143,Kapha
143,77,62,Vata
20,50,72,Kapha
70,58,107,Kapha
2,44,120,Kapha
54,43,79,Kapha
90,123,57,Pitta
149,13,16,Vata
101,142,53,Pitta
115,118,141,Kapha
8,15,107,Kapha
126,129,127,Pitta-Kapha
70,63,73,Kapha-Vata
86,150,88,Pitta
46,139,8,Pitta
79,42,43,Vata
125,124,132,Kapha
6,99,104,Kapha-Pitta
76,98,60,Pitta
89,11,137,Kapha
100,87,59,Vata
109,81,18,Vata
139,21,41,Vata
66,98,24,Pitta
80,139,97,Pitta
58,23,5,Vata
47,17,23,Vata
35,87,84,Pitta-Kapha
83,122,97,Pitta
131,88,72,Vata
21,83,51,Pitta
114,70,14,Vata
125,15,136,Kapha
144,21,142,Vata-Kapha
132,49,87,Vata
97,143,97,Pitta
135,139,10,Pitta-Vata
116,21,102,Vata
105,71,12,Vata
128,26,139,Kapha
121,100,95,Vata
96,24,69,Vata
150,94,38,Vata
67,53,122,Kapha
17,62,57,Pitta
44,65,8,Pitta
99,26,124,Kapha
79,94,113,Kapha
123,136,92,Pitta
43,64,0,Pitta
110,43,3,Vata
63,136,10,Pitta
82,83,9,Pitta-Vata
84,10,110,Kapha
43,147,50,Pitta
123,139,76,Pitta
12,56,44,Pitta
46,45,70,Kapha
13,148,49,Pitta
91,100,112,Kapha
12,105,83,Pitta
9,67,115,Kapha
101,64,102,Kapha-Vata
11,141,142,Kapha-Pitta
80,41,92,Kapha
16,84,97,Kapha
92,76,123,Kapha
35,38,14,Pitta-Vata
137,77,132,Vata-Kapha
91,113,5,Pitta
2,33,135,Kapha
140,127,150,Kapha
21,128,23,Pitta
140,143,108,Pitta-Vata
98,64,97,Vata-Kapha
87,32,22,Vata
90,99,126,Kapha
123,111,51,Vata
54,25,71,Kapha
121,132,70,Pitta
116,87,42,Vata
145,3,91,Vata
57,135,2,Pitta
137,5,128,Vata
43,107,56,Pitta
72,125,58,Pitta
123,84,30,Vata
127,3,119,Vata
136,89,52,Vata
88,110,96,Pitta
